t,phi,dphi,A,B,R,gamma_eff
23.80595148787197,1.1777085986547837,-0.0011374044698409715,0.7784090908223547,0.7806267805277524,0.9999999999963316,0.05750327618238586
23.83095773943486,1.1776093871381954,-0.006794950195461423,0.7784090908252046,0.7806267805308916,0.9999999999963206,0.05750327618104364
23.85596399099775,1.1773689389018365,-0.012431777489856726,0.7784090908279587,0.7806267805339322,0.9999999999962941,0.057503276179744996
23.88097024256064,1.1769879022426453,-0.01803748591206661,0.7784090908306203,0.7806267805368771,0.9999999999962514,0.05750327617848858
23.905976494123532,1.1764671843986254,-0.023601770686968646,0.7784090908331923,0.7806267805397293,0.9999999999961924,0.05750327617727293
23.93098274568642,1.1758079487925615,-0.029114451759876554,0.7784090908356776,0.7806267805424918,0.9999999999961163,0.05750327617609689
23.955988997249314,1.1750116115566054,-0.03456550220953325,0.7784090908380791,0.7806267805451671,0.9999999999960224,0.05750327617495913
23.980995248812203,1.1740798373527495,-0.03994507588061075,0.7784090908403994,0.7806267805477582,0.9999999999959097,0.05750327617385843
24.006001500375096,1.1730145345200786,-0.04524353404431114,0.7784090908426413,0.7806267805502676,0.9999999999957768,0.05750327617279365
24.031007751937985,1.1718178495636735,-0.05045147101526762,0.7784090908448071,0.7806267805526977,0.9999999999956224,0.057503276171763665
24.056014003500877,1.1704921610280474,-0.05555973856485822,0.7784090908468996,0.7806267805550512,0.9999999999954449,0.0575032761707673
24.081020255063766,1.1690400727541905,-0.06055946911261883,0.7784090908489207,0.7806267805573304,0.999999999995242,0.05750327616980358
24.10602650662666,1.167464406577058,-0.06544209746426995,0.7784090908508728,0.7806267805595374,0.9999999999950118,0.05750327616887152
24.131032758189548,1.1657681945358476,-0.07019938094994732,0.7784090908527582,0.7806267805616746,0.9999999999947513,0.057503276167970054
24.15603900975244,1.1639546705807537,-0.07482341814460115,0.7784090908545788,0.7806267805637442,0.9999999999944579,0.05750327616709824
24.18104526131533,1.1620272617517717,-0.07930666605562128,0.7784090908563365,0.7806267805657482,0.9999999999941279,0.05750327616625522
24.206051512878222,1.1599895790878088,-0.08364195527090157,0.7784090908580331,0.7806267805676887,0.9999999999937578,0.05750327616544012
24.23105776444111,1.1578454081405896,-0.08782250361908231,0.7784090908596705,0.7806267805695677,0.9999999999933431,0.05750327616465211
24.256064016004004,1.1555986990091862,-0.09184192826562584,0.7784090908612503,0.7806267805713869,0.9999999999928789,0.05750327616389038
24.281070267566893,1.1532535563384976,-0.09569425553672847,0.7784090908627741,0.7806267805731485,0.9999999999923599,0.05750327616315411
24.306076519129782,1.1508142290138617,-0.09937392936267368,0.7784090908642434,0.7806267805748539,0.9999999999917798,0.05750327616244268
24.331082770692674,1.1482850994252165,-0.10287581804257746,0.7784090908656595,0.780626780576505,0.9999999999911318,0.057503276161755316
24.356089022255563,1.1456706730549469,-0.1061952187069033,0.7784090908670236,0.7806267805781036,0.9999999999904083,0.05750327616109137
24.381095273818456,1.1429755675603883,-0.10932786082701272,0.7784090908683372,0.7806267805796512,0.9999999999896005,0.057503276160450194
24.406101525381345,1.1402045018708376,-0.1122699074763055,0.7784090908696011,0.7806267805811494,0.999999999988699,0.05750327615983121
24.431107776944238,1.1373622856446404,-0.11501795516959301,0.7784090908708163,0.7806267805825996,0.9999999999876932,0.05750327615923388
24.456114028507127,1.1344538079819748,-0.1175690324087985,0.7784090908719838,0.7806267805840033,0.9999999999865712,0.057503276158657704
24.48112028007002,1.1314840271770474,-0.11992059610516015,0.7784090908731041,0.780626780585362,0.9999999999853197,0.057503276158102204
24.50612653163291,1.1284579596095203,-0.1220705274940239,0.778409090874178,0.780626780586677,0.9999999999839246,0.05750327615756686
24.5311327831958,1.1253806694965285,-0.12401712569928373,0.7784090908752057,0.7806267805879495,0.99999999998237,0.05750327615705137
24.55613903475869,1.1222572584572528,-0.12575910112983138,0.7784090908761879,0.780626780589181,0.9999999999806382,0.05750327615655533
24.581145286321583,1.1190928551591557,-0.1272955666338224,0.7784090908771247,0.7806267805903726,0.99999999997871,0.057503276156078385
24.60615153788447,1.1158926057651857,-0.128626028725375,0.778409090878016,0.7806267805915253,0.9999999999765647,0.057503276155620335
24.631157789447364,1.1126616636313822,-0.12975037667272743,0.7784090908788618,0.7806267805926406,0.9999999999741794,0.057503276155180916
24.656164041010253,1.1094051806095937,-0.1306688720048893,0.7784090908796618,0.7806267805937193,0.9999999999715296,0.05750327615475993
24.681170292573146,1.106128297038304,-0.13138213582276134,0.7784090908804155,0.7806267805947623,0.9999999999685886,0.057503276154357345
24.706176544136035,1.1028361338235506,-0.1318911371158299,0.7784090908811224,0.780626780595771,0.9999999999653278,0.057503276153972945
24.731182795698924,1.099533782978111,-0.1321971785297787,0.7784090908817817,0.7806267805967461,0.9999999999617168,0.057503276153606744
24.756189047261817,1.0962263002871482,-0.13230188401867696,0.7784090908823922,0.7806267805976884,0.9999999999577234,0.05750327615325881
24.781195298824706,1.092918696840592,-0.13220718342362087,0.7784090908829528,0.780626780598599,0.9999999999533132,0.05750327615292919
24.8062015503876,1.0896159317186433,-0.13191529960169643,0.7784090908834622,0.7806267805994785,0.9999999999484505,0.057503276152617994
24.831207801950487,1.0863229053816315,-0.13142873281870493,0.7784090908839186,0.7806267806003279,0.9999999999430977,0.05750327615232549
24.85621405351338,1.0830444515157427,-0.13075024663024262,0.7784090908843204,0.7806267806011477,0.9999999999372168,0.05750327615205185
24.88122030507627,1.079785332863911,-0.1298828538757818,0.7784090908846653,0.7806267806019386,0.999999999930768,0.05750327615179743
24.90622655663916,1.0765502326241099,-0.12882980009098557,0.778409090884951,0.7806267806027013,0.9999999999237121,0.057503276151562595
24.93123280820205,1.0733437504974532,-0.12759455174126103,0.7784090908851754,0.7806267806034364,0.9999999999160091,0.057503276151347725
24.956239059764943,1.0701703978477317,-0.12618078017319231,0.7784090908853356,0.7806267806041443,0.9999999999076201,0.05750327615115332
24.981245311327832,1.0670345900614409,-0.12459234683469625,0.7784090908854289,0.7806267806048257,0.9999999998985076,0.05750327615097987
25.006251562890725,1.063940644868801,-0.12283329221506925,0.7784090908854524,0.780626780605481,0.9999999998886362,0.05750327615082796
25.031257814453614,1.0608927769489511,-0.12090781961416044,0.7784090908854029,0.7806267806061105,0.9999999998779736,0.05750327615069818
25.056264066016507,1.05789509307176,-0.11882028328271677,0.7784090908852772,0.7806267806067146,0.999999999866491,0.057503276150591184
25.081270317579396,1.054951590535994,-0.1165751765425642,0.7784090908850724,0.7806267806072936,0.9999999998541653,0.05750327615050757
25.10627656914229,1.0520661517773406,-0.11417711747343504,0.7784090908847849,0.780626780607848,0.999999999840979,0.05750327615044802
25.131282820705177,1.0492425425665861,-0.11163083952353303,0.7784090908844117,0.7806267806083778,0.9999999998269216,0.057503276150413216
25.15628907226807,1.0464844092870307,-0.1089411788950749,0.7784090908839496,0.7806267806088832,0.9999999998119912,0.05750327615040379
25.18129532383096,1.043795275635552,-0.10611306411868009,0.7784090908833957,0.7806267806093645,0.9999999997961951,0.05750327615042039
25.206301575393848,1.0411785416525239,-0.10315150660710459,0.7784090908827473,0.7806267806098219,0.9999999997795513,0.05750327615046355
25.23130782695674,1.0386374805587548,-0.10006158995562416,0.778409090882002,0.7806267806102553,0.999999999762089,0.057503276150533855
25.25631407851963,1.036175238098034,-0.09684846222708246,0.7784090908811578,0.7806267806106649,0.9999999997438498,0.05750327615063166
25.281320330082522,1.0337948302173443,-0.09351732628660638,0.7784090908802132,0.780626780611051,0.9999999997248885,0.057503276150757274
25.30632658164541,1.0314991424148063,-0.09007343306023151,0.7784090908791669,0.7806267806114132,0.9999999997052738,0.057503276150911026
25.331332833208304,1.0292909281635996,-0.08652207324393649,0.7784090908780186,0.7806267806117518,0.9999999996850879,0.05750327615109295
25.356339084771193,1.027172808363326,-0.08286857141371426,0.7784090908767687,0.7806267806120669,0.9999999996644279,0.05750327615130299
25.381345336334086,1.0251472702783127,-0.07911827906613064,0.7784090908754181,0.7806267806123586,0.9999999996434041,0.05750327615154084
25.406351587896975,1.0232166671930427,-0.07527656962167921,0.7784090908739688,0.7806267806126267,0.9999999996221409,0.05750327615180611
25.431357839459867,1.0213832176878048,-0.07134883263958955,0.7784090908724236,0.7806267806128714,0.9999999996007752,0.057503276152098146
25.456364091022756,1.0196490055344865,-0.0673404697539973,0.7784090908707864,0.7806267806130929,0.9999999995794553,0.057503276152416044
25.48137034258565,1.018015979203753,-0.06325688991686895,0.7784090908690617,0.7806267806132912,0.9999999995583393,0.057503276152758784
25.506376594148538,1.0164859519754847,-0.059103506231892276,0.7784090908672556,0.7806267806134666,0.9999999995375943,0.05750327615312487
25.53138284571143,1.0150606016392953,-0.054885732139733856,0.7784090908653749,0.7806267806136192,0.9999999995173927,0.05750327615351282
25.55638909727432,1.0137414707368526,-0.05060897900978529,0.7784090908634274,0.7806267806137495,0.9999999994979112,0.05750327615392079
25.581395348837212,1.012529966472967,-0.046278653276628466,0.778409090861422,0.7806267806138576,0.999999999479327,0.057503276154346694
25.6064016004001,1.0114273609830469,-0.04190015453442836,0.7784090908593686,0.780626780613944,0.9999999994618161,0.0575032761547882
25.63140785196299,1.0104347914726568,-0.03747887366582847,0.7784090908572778,0.7806267806140093,0.9999999994455495,0.05750327615524285
25.656414103525883,1.0095532604521558,-0.033020191249850346,0.7784090908551614,0.7806267806140538,0.999999999430691,0.057503276155707925
25.681420355088772,1.0087836360534121,-0.02852947653035777,0.7784090908530314,0.7806267806140783,0.9999999994173935,0.05750327615618048
